               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084594,            0.031127,            0.025246,             0.17527,             0.11605,             0.12295,            0.038741,            0.053042,            0.015717,            0.023927,            0.070769,           0.0032479,           0.0032479
                   1,            0.055725,             0.02749,            0.020679,             0.29621,             0.44284,             0.30515,             0.11501,            0.053124,            0.011741,            0.021393,            0.040606,           0.0064183,           0.0064183
                   2,            0.053459,            0.024085,            0.016815,             0.24814,             0.33352,              0.2099,            0.054865,            0.050188,           0.0082982,            0.018167,            0.010278,           0.0094238,           0.0094238
                   3,            0.050092,            0.023421,            0.014711,             0.35665,             0.41018,             0.33948,             0.14567,            0.044284,           0.0096528,            0.022201,           0.0092575,           0.0092575,           0.0092575
                   4,            0.046758,            0.021892,            0.011835,              0.5301,             0.58242,             0.59028,              0.3121,            0.043038,           0.0088028,           0.0089736,           0.0092575,           0.0092575,           0.0092575
                   5,             0.04421,            0.022782,            0.014069,             0.50189,              0.4786,              0.4776,              0.1898,            0.043908,           0.0080996,           0.0073607,             0.00901,             0.00901,             0.00901
                   6,            0.040209,            0.023568,            0.012332,             0.53081,              0.5677,             0.49738,             0.20196,            0.035265,           0.0095722,            0.010075,           0.0087625,           0.0087625,           0.0087625
                   7,            0.040495,            0.023051,            0.014591,             0.42589,             0.50203,              0.4297,             0.19303,             0.04397,           0.0087738,            0.017744,            0.008515,            0.008515,            0.008515
                   8,             0.03973,            0.023093,            0.011967,             0.62528,             0.54467,             0.60076,             0.25479,            0.038589,           0.0083335,           0.0087154,           0.0082675,           0.0082675,           0.0082675
                   9,            0.039168,            0.022229,           0.0099942,             0.65187,             0.66648,             0.63912,             0.28996,            0.034253,           0.0076341,           0.0052397,             0.00802,             0.00802,             0.00802
                  10,            0.038605,            0.021996,            0.012568,             0.61167,             0.55229,              0.5406,             0.22734,            0.032186,           0.0082387,           0.0066081,           0.0077725,           0.0077725,           0.0077725
                  11,            0.036831,            0.022294,            0.013268,             0.54623,             0.56619,             0.52819,             0.21759,            0.033915,           0.0088621,            0.010013,            0.007525,            0.007525,            0.007525
                  12,            0.038035,            0.021952,            0.010975,             0.65401,             0.61752,             0.60887,             0.32189,            0.035031,           0.0089461,            0.011442,           0.0072775,           0.0072775,           0.0072775
                  13,            0.036425,            0.022065,            0.010974,             0.74724,             0.70288,             0.73975,             0.40083,            0.031157,            0.006895,           0.0065969,             0.00703,             0.00703,             0.00703
                  14,            0.035302,             0.02174,           0.0082323,             0.77867,             0.69001,             0.76463,             0.44058,            0.029709,           0.0067844,           0.0048874,           0.0067825,           0.0067825,           0.0067825
                  15,            0.037127,             0.02116,           0.0094805,             0.77351,             0.63374,             0.77968,             0.44071,            0.033363,           0.0068557,            0.007731,            0.006535,            0.006535,            0.006535
                  16,            0.033622,            0.020797,           0.0083751,              0.7459,             0.70838,             0.76145,             0.45397,            0.031352,           0.0066455,            0.007036,           0.0062875,           0.0062875,           0.0062875
